key	value
For	6
To	5
I	5
My	4
Star	4
In	3
At	3
Wife	3
He	3
at	3
Mike	2
Cane	2
Get	2
Britney	2
Spears	2
Not	2
in	2
Record	2
Brittney	2
Griner	2
Despite	2
So	2
Tony	2
Dow	2
Leave	2
Beaver	2
Dead	2
Over	2
Cops	2
His	2
The	2
Alive	2
Jamie	2
Foxx	2
Boo	2
Players	2
Dies	2
Tyson	1
Using	1
Around	1
But	1
OK	1
Will	1
Be	1
Deposed	1
Judge	1
Rules	1
Jeff	1
Bezos	1
Parents	1
Buy	1
M	1
Mega	1
Mansion	1
FL	1
Joey	1
Chestnut	1
Downs	1
Chicken	1
Fingers	1
Five	1
Minutes	1
World	1
Flew	1
Russia	1
Travel	1
Warning	1
Could	1
Help	1
Team	1
It	1
Beyoncé	1
Renaissance	1
Album	1
Leak	1
Beyhive	1
Says	1
Fast	1
Ukrainian	1
Prez	1
Volodymyr	1
Zelensky	1
Dragged	1
Vogue	1
Cover	1
Shoot	1
with	1
GEORGE	1
FLOYD	1
DEATH	1
Former	1
Prison	1
Time	1
Violating	1
Civil	1
Rights	1
Kanye	1
West	1
Gifts	1
AP	1
Bari	1
New	1
Maybach	1
Days	1
After	1
Wrecked	1
Old	1
One	1
Norman	1
Lear	1
Singin	1
That	1
Amore	1
Miracle	1
of	1
Being	1
Wild	1
Sing	1
along	1
on	1
Italian	1
Vacay	1
Top	1
Chef	1
Howard	1
Kleinberg	1
Shawn	1
Mendes	1
Cancels	1
Tour	1
Mental	1
Health	1
Break	1
Mama	1
June	1
Honey	1
Too	1
Young	1
Gastric	1
Sleeve	1
Lawyer	1
Doubles	1
Down	1
She	1
Wo	1
Sit	1
for	1
Depo	1
or	1
Testify	1
Trial	1
Jerry	1
Jones	1
Apologizes	1
Derogatory	1
Term	1
Cowboys	1
Camp	1
Buzz	1
Aldrin	1
Apollo	1
Jacket	1
Sells	1
Mil	1
Space	1
Artifact	1
Donald	1
Trump	1
Protesters	1
Flood	1
Hotel	1
Speech	1
Back	1
Since	1
Kevin	1
Hart	1
Shames	1
Ex	1
NFLer	1
Nudist	1
Colony	1
Hobby	1
With	1
You	1
Hear	1
Whatchu	1
Sayin	1
Jim	1
Harbaugh	1
Willing	1
Raise	1
Baby	1
If	1
Pregnancy	1
Unplanned	1
RHONY	1
Sonja	1
Morgan	1
Lists	1
NYC	1
Townhouse	1
Let	1
Try	1
This	1
Again	1
it	1
to	1
Still	1
Facebook	1
Death	1
Post	1
Helicopter	1
Tragedy	1
Man	1
Walking	1
into	1
Blades	1
Fear	1
Was	1
Attempting	1
Selfie	1
California	1
Soccer	1
Player	1
Following	1
Game	1
Brawl	1
Involving	1
Fans	1
Lana	1
Del	1
Rey	1
Gets	1
TRO	1
Against	1
Alleged	1
Stalker	1
Stole	1
Car	1
Taco	1
Bell	1
Employee	1
Allegedly	1
Throws	1
Boiling	1
Hot	1
Water	1
Customers	1
Sends	1
Message	1
Court	1
Good	1
Luck	1
On	1
Bar	1
Exam	1
PetSmart	1
Sued	1
Your	1
Groomers	1
Killed	1
Dog	1
RHOA	1
STAR	1
SHEREE	1
WHITFIELD	1
Dating	1
Martell	1
Holt	1
From	1
Love	1
Marriage	1
Huntsville	1
SHAHS	1
OF	1
SUNSET	1
CHARGED	1
WITH	1
DOMESTIC	1
VIOLENCE	1
